generation,best_time,experiment,technique,rep
0,1186376432881.0132,rosenbrock,RandomNelderMead,1
0,3067041759.3357186,rosenbrock,RandomNelderMead,1
5,2375674939.143014,rosenbrock,RandomNelderMead,1
7,447756531.65189266,rosenbrock,RandomNelderMead,1
10,203471592.9937645,rosenbrock,RandomNelderMead,1
13,54540948.54538223,rosenbrock,RandomNelderMead,1
18,13579198.282816853,rosenbrock,RandomNelderMead,1
23,614525.9214287185,rosenbrock,RandomNelderMead,1
24,1187.985665485805,rosenbrock,RandomNelderMead,1
38,280.3565555333176,rosenbrock,RandomNelderMead,1
48,248.15773102009757,rosenbrock,RandomNelderMead,1
52,189.67795218421443,rosenbrock,RandomNelderMead,1
56,179.40685949301613,rosenbrock,RandomNelderMead,1
63,170.76748018286386,rosenbrock,RandomNelderMead,1
70,165.23417111505586,rosenbrock,RandomNelderMead,1
77,161.05385554778658,rosenbrock,RandomNelderMead,1
81,160.37309472735535,rosenbrock,RandomNelderMead,1
82,158.7548136357051,rosenbrock,RandomNelderMead,1
83,154.4218831777839,rosenbrock,RandomNelderMead,1
85,150.98528926776896,rosenbrock,RandomNelderMead,1
86,144.4980662364613,rosenbrock,RandomNelderMead,1
90,141.17609984191697,rosenbrock,RandomNelderMead,1
93,138.2693094675211,rosenbrock,RandomNelderMead,1
